orderdate,orderNumber,productName,productLine,customerName,customer_country,office_country,buyPrice,priceEach,quantityOrdered,sales_value,cost_of_sales
2004-11-29,10346,"1969 Chevrolet Camaro Z28","Classic Cars","Signal Gift Stores",USA,USA,50.51,80.47,24,1931.28,1212.24
2004-11-29,10346,"2002 Chevy Corvette","Classic Cars","Signal Gift Stores",USA,USA,62.11,103.87,26,2700.62,1614.86
2004-11-29,10346,"1936 Mercedes Benz 500k Roadster","Vintage Cars","Signal Gift Stores",USA,USA,21.75,38.57,22,848.54,478.50
2003-04-29,10120,"1996 Moto Guzzi 1100i",Motorcycles,"Australian Collectors, Co.",Australia,Australia,68.99,118.94,29,3449.26,2000.71
2003-04-29,10120,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,"Australian Collectors, Co.",Australia,Australia,91.02,158.80,46,7304.80,4186.92
2003-04-29,10120,"P-51-D Mustang",Planes,"Australian Collectors, Co.",Australia,Australia,49.00,82.79,29,2400.91,1421.00
2003-04-29,10120,"1936 Harley Davidson El Knucklehead",Motorcycles,"Australian Collectors, Co.",Australia,Australia,24.23,57.54,46,2646.84,1114.58
2003-04-29,10120,"1997 BMW R 1100 S",Motorcycles,"Australian Collectors, Co.",Australia,Australia,60.86,110.45,35,3865.75,2130.10
2003-04-29,10120,"1928 British Royal Navy Airplane",Planes,"Australian Collectors, Co.",Australia,Australia,66.74,93.01,39,3627.39,2602.86
2003-04-29,10120,"1960 BSA Gold Star DBD34",Motorcycles,"Australian Collectors, Co.",Australia,Australia,37.32,72.36,34,2460.24,1268.88
2003-04-29,10120,"1900s Vintage Tri-Plane",Planes,"Australian Collectors, Co.",Australia,Australia,36.23,71.73,29,2080.17,1050.67
2003-04-29,10120,"1997 BMW F650 ST",Motorcycles,"Australian Collectors, Co.",Australia,Australia,66.92,94.90,22,2087.80,1472.24
2003-04-29,10120,"1928 Ford Phaeton Deluxe","Vintage Cars","Australian Collectors, Co.",Australia,Australia,33.02,68.79,29,1994.91,957.58
2003-04-29,10120,"1930 Buick Marquette Phaeton","Vintage Cars","Australian Collectors, Co.",Australia,Australia,27.06,41.46,49,2031.54,1325.94
2003-04-29,10120,"American Airlines: B767-300",Planes,"Australian Collectors, Co.",Australia,Australia,51.15,91.34,47,4292.98,2404.05
2003-04-29,10120,"America West Airlines B757-200",Planes,"Australian Collectors, Co.",Australia,Australia,68.80,81.77,24,1962.48,1651.20
2003-04-29,10120,"ATA: B757-300",Planes,"Australian Collectors, Co.",Australia,Australia,59.33,106.79,24,2562.96,1423.92
2003-04-29,10120,"F/A 18 Hornet 1/72",Planes,"Australian Collectors, Co.",Australia,Australia,54.40,72.00,43,3096.00,2339.20
2003-05-21,10125,"1937 Lincoln Berline","Vintage Cars","Australian Collectors, Co.",Australia,Australia,60.62,89.38,32,2860.16,1939.84
2003-05-21,10125,"1928 Mercedes-Benz SSK","Vintage Cars","Australian Collectors, Co.",Australia,Australia,72.56,138.38,34,4704.92,2467.04
2004-02-20,10223,"1969 Harley Davidson Ultimate Chopper",Motorcycles,"Australian Collectors, Co.",Australia,Australia,48.81,80.39,37,2974.43,1805.97
2004-02-20,10223,"1996 Moto Guzzi 1100i",Motorcycles,"Australian Collectors, Co.",Australia,Australia,68.99,110.61,47,5198.67,3242.53
2004-02-20,10223,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,"Australian Collectors, Co.",Australia,Australia,91.02,189.79,49,9299.71,4459.98
2004-02-20,10223,"P-51-D Mustang",Planes,"Australian Collectors, Co.",Australia,Australia,49.00,67.58,47,3176.26,2303.00
2004-02-20,10223,"1936 Harley Davidson El Knucklehead",Motorcycles,"Australian Collectors, Co.",Australia,Australia,24.23,58.75,28,1645.00,678.44
2004-02-20,10223,"1997 BMW R 1100 S",Motorcycles,"Australian Collectors, Co.",Australia,Australia,60.86,104.81,32,3353.92,1947.52
2004-02-20,10223,"1928 British Royal Navy Airplane",Planes,"Australian Collectors, Co.",Australia,Australia,66.74,87.54,34,2976.36,2269.16
2004-02-20,10223,"1960 BSA Gold Star DBD34",Motorcycles,"Australian Collectors, Co.",Australia,Australia,37.32,60.94,38,2315.72,1418.16
2004-02-20,10223,"1900s Vintage Tri-Plane",Planes,"Australian Collectors, Co.",Australia,Australia,36.23,68.10,23,1566.30,833.29
2004-02-20,10223,"1997 BMW F650 ST",Motorcycles,"Australian Collectors, Co.",Australia,Australia,66.92,90.90,21,1908.90,1405.32
2004-02-20,10223,"1928 Ford Phaeton Deluxe","Vintage Cars","Australian Collectors, Co.",Australia,Australia,33.02,66.73,20,1334.60,660.40
2004-02-20,10223,"1930 Buick Marquette Phaeton","Vintage Cars","Australian Collectors, Co.",Australia,Australia,27.06,41.02,41,1681.82,1109.46
2004-02-20,10223,"American Airlines: B767-300",Planes,"Australian Collectors, Co.",Australia,Australia,51.15,84.03,25,2100.75,1278.75
2004-02-20,10223,"ATA: B757-300",Planes,"Australian Collectors, Co.",Australia,Australia,59.33,113.90,29,3303.10,1720.57
2004-02-20,10223,"F/A 18 Hornet 1/72",Planes,"Australian Collectors, Co.",Australia,Australia,54.40,79.20,26,2059.20,1414.40
2004-11-24,10342,"1993 Mazda RX-7","Classic Cars","Australian Collectors, Co.",Australia,Australia,83.51,118.89,40,4755.60,3340.40
2004-11-24,10342,"1948 Porsche 356-A Roadster","Classic Cars","Australian Collectors, Co.",Australia,Australia,53.90,63.14,55,3472.70,2964.50
2004-11-24,10342,"1995 Honda Civic","Classic Cars","Australian Collectors, Co.",Australia,Australia,93.89,115.22,22,2534.84,2065.58
2004-11-24,10342,"1992 Ferrari 360 Spider red","Classic Cars","Australian Collectors, Co.",Australia,Australia,77.90,167.65,30,5029.50,2337.00
2004-11-24,10342,"1969 Dodge Super Bee","Classic Cars","Australian Collectors, Co.",Australia,Australia,49.05,76.39,25,1909.75,1226.25
2004-11-24,10342,"1976 Ford Gran Torino","Classic Cars","Australian Collectors, Co.",Australia,Australia,73.49,136.70,55,7518.50,4041.95
2004-11-24,10342,"1957 Vespa GS150",Motorcycles,"Australian Collectors, Co.",Australia,Australia,32.95,57.82,26,1503.32,856.70
2004-11-24,10342,"1957 Corvette Convertible","Classic Cars","Australian Collectors, Co.",Australia,Australia,69.93,124.99,38,4749.62,2657.34
2004-11-24,10342,"1982 Lamborghini Diablo","Classic Cars","Australian Collectors, Co.",Australia,Australia,16.24,30.59,39,1193.01,633.36
2004-11-24,10342,"1971 Alpine Renault 1600s","Classic Cars","Australian Collectors, Co.",Australia,Australia,38.58,60.01,48,2880.48,1851.84
2004-11-24,10342,"1956 Porsche 356A Coupe","Classic Cars","Australian Collectors, Co.",Australia,Australia,98.30,112.34,42,4718.28,4128.60
2004-11-29,10347,"1952 Alpine Renault 1300","Classic Cars","Australian Collectors, Co.",Australia,Australia,98.58,188.58,30,5657.40,2957.40
2004-11-29,10347,"1962 LanciaA Delta 16V","Classic Cars","Australian Collectors, Co.",Australia,Australia,103.42,132.97,27,3590.19,2792.34
2004-11-29,10347,"1958 Setra Bus","Trucks and Buses","Australian Collectors, Co.",Australia,Australia,77.90,132.57,29,3844.53,2259.10
2004-11-29,10347,"1940 Ford Pickup Truck","Trucks and Buses","Australian Collectors, Co.",Australia,Australia,58.33,113.17,42,4753.14,2449.86
2004-11-29,10347,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars","Australian Collectors, Co.",Australia,Australia,24.26,46.36,21,973.56,509.46
2004-11-29,10347,"1926 Ford Fire Engine","Trucks and Buses","Australian Collectors, Co.",Australia,Australia,24.92,51.05,50,2552.50,1246.00
2004-11-29,10347,"1928 Mercedes-Benz SSK","Vintage Cars","Australian Collectors, Co.",Australia,Australia,72.56,136.69,21,2870.49,1523.76
2004-11-29,10347,"1913 Ford Model T Speedster","Vintage Cars","Australian Collectors, Co.",Australia,Australia,60.78,84.09,48,4036.32,2917.44
2004-11-29,10347,"1934 Ford V8 Coupe","Vintage Cars","Australian Collectors, Co.",Australia,Australia,34.35,60.59,34,2060.06,1167.90
2004-11-29,10347,"18th Century Vintage Horse Carriage","Vintage Cars","Australian Collectors, Co.",Australia,Australia,60.74,95.30,45,4288.50,2733.30
2004-11-29,10347,"1917 Maxwell Touring Car","Vintage Cars","Australian Collectors, Co.",Australia,Australia,57.54,84.33,26,2192.58,1496.04
2004-11-29,10347,"1940s Ford truck","Trucks and Buses","Australian Collectors, Co.",Australia,Australia,84.76,115.03,45,5176.35,3814.20
2004-07-23,10275,"1969 Harley Davidson Ultimate Chopper",Motorcycles,"La Rochelle Gifts",France,France,48.81,81.35,45,3660.75,2196.45
2004-07-23,10275,"1996 Moto Guzzi 1100i",Motorcycles,"La Rochelle Gifts",France,France,68.99,115.37,22,2538.14,1517.78
2004-07-23,10275,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,"La Rochelle Gifts",France,France,91.02,154.93,36,5577.48,3276.72
2004-07-23,10275,"P-51-D Mustang",Planes,"La Rochelle Gifts",France,France,49.00,70.12,35,2454.20,1715.00
2004-07-23,10275,"1936 Harley Davidson El Knucklehead",Motorcycles,"La Rochelle Gifts",France,France,24.23,52.09,37,1927.33,896.51
2004-07-23,10275,"1997 BMW R 1100 S",Motorcycles,"La Rochelle Gifts",France,France,60.86,105.94,21,2224.74,1278.06
2004-07-23,10275,"1928 British Royal Navy Airplane",Planes,"La Rochelle Gifts",France,France,66.74,97.38,25,2434.50,1668.50
2004-07-23,10275,"1960 BSA Gold Star DBD34",Motorcycles,"La Rochelle Gifts",France,France,37.32,61.70,30,1851.00,1119.60
2004-07-23,10275,"Corsair F4U ( Bird Cage)",Planes,"La Rochelle Gifts",France,France,29.34,58.00,41,2378.00,1202.94
2004-07-23,10275,"1900s Vintage Tri-Plane",Planes,"La Rochelle Gifts",France,France,36.23,67.38,27,1819.26,978.21
2004-07-23,10275,"1997 BMW F650 ST",Motorcycles,"La Rochelle Gifts",France,France,66.92,89.90,23,2067.70,1539.16
2004-07-23,10275,"1928 Ford Phaeton Deluxe","Vintage Cars","La Rochelle Gifts",France,France,33.02,58.47,28,1637.16,924.56
2004-07-23,10275,"1930 Buick Marquette Phaeton","Vintage Cars","La Rochelle Gifts",France,France,27.06,40.15,38,1525.70,1028.28
2004-07-23,10275,"American Airlines: B767-300",Planes,"La Rochelle Gifts",France,France,51.15,85.86,32,2747.52,1636.80
2004-07-23,10275,"America West Airlines B757-200",Planes,"La Rochelle Gifts",France,France,68.80,82.77,39,3228.03,2683.20
2004-07-23,10275,"ATA: B757-300",Planes,"La Rochelle Gifts",France,France,59.33,102.04,48,4897.92,2847.84
2004-07-23,10275,"F/A 18 Hornet 1/72",Planes,"La Rochelle Gifts",France,France,54.40,72.00,43,3096.00,2339.20
2004-07-23,10275,"American Airlines: MD-11S",Planes,"La Rochelle Gifts",France,France,36.27,59.96,31,1858.76,1124.37
2004-10-29,10315,"1904 Buick Runabout","Vintage Cars","La Rochelle Gifts",France,France,52.66,78.12,36,2812.32,1895.76
2004-10-29,10315,"18th century schooner",Ships,"La Rochelle Gifts",France,France,82.34,111.83,35,3914.05,2881.90
2004-10-29,10315,"1912 Ford Model T Delivery Wagon","Vintage Cars","La Rochelle Gifts",France,France,46.91,78.77,24,1890.48,1125.84
2004-10-29,10315,"The Schooner Bluenose",Ships,"La Rochelle Gifts",France,France,34.00,60.67,41,2487.47,1394.00
2004-10-29,10315,"The Titanic",Ships,"La Rochelle Gifts",France,France,51.09,99.17,31,3074.27,1583.79
2004-10-29,10315,"The Queen Mary",Ships,"La Rochelle Gifts",France,France,53.63,88.39,37,3270.43,1984.31
2004-10-29,10315,"Pont Yacht",Ships,"La Rochelle Gifts",France,France,33.30,51.32,40,2052.80,1332.00
2005-02-03,10375,"1969 Harley Davidson Ultimate Chopper",Motorcycles,"La Rochelle Gifts",France,France,48.81,76.56,21,1607.76,1025.01
2005-02-03,10375,"1968 Ford Mustang","Classic Cars","La Rochelle Gifts",France,France,95.34,184.84,45,8317.80,4290.30
2005-02-03,10375,"2002 Suzuki XREO",Motorcycles,"La Rochelle Gifts",France,France,66.27,150.62,49,7380.38,3247.23
2005-02-03,10375,"1960 BSA Gold Star DBD34",Motorcycles,"La Rochelle Gifts",France,France,37.32,67.03,23,1541.69,858.36
2005-02-03,10375,"1982 Ducati 900 Monster",Motorcycles,"La Rochelle Gifts",France,France,47.10,60.26,20,1205.20,942.00
2005-02-03,10375,"1900s Vintage Tri-Plane",Planes,"La Rochelle Gifts",France,France,36.23,60.13,43,2585.59,1557.89
2005-02-03,10375,"1997 BMW F650 ST",Motorcycles,"La Rochelle Gifts",France,France,66.92,87.90,37,3252.30,2476.04
2005-02-03,10375,"1928 Ford Phaeton Deluxe","Vintage Cars","La Rochelle Gifts",France,France,33.02,59.85,44,2633.40,1452.88
2005-02-03,10375,"1974 Ducati 350 Mk3 Desmo",Motorcycles,"La Rochelle Gifts",France,France,56.13,96.95,41,3974.95,2301.33
2005-02-03,10375,"1930 Buick Marquette Phaeton","Vintage Cars","La Rochelle Gifts",France,France,27.06,36.22,49,1774.78,1325.94
2005-02-03,10375,"2002 Yamaha YZR M1",Motorcycles,"La Rochelle Gifts",France,France,34.17,69.16,49,3388.84,1674.33
2005-02-03,10375,"American Airlines: B767-300",Planes,"La Rochelle Gifts",France,France,51.15,86.77,37,3210.49,1892.55
2005-02-03,10375,"America West Airlines B757-200",Planes,"La Rochelle Gifts",France,France,68.80,94.73,33,3126.09,2270.40
2005-02-03,10375,"ATA: B757-300",Planes,"La Rochelle Gifts",France,France,59.33,98.48,25,2462.00,1483.25
2005-02-03,10375,"F/A 18 Hornet 1/72",Planes,"La Rochelle Gifts",France,France,54.40,69.60,44,3062.40,2393.60
2005-05-31,10425,"1962 LanciaA Delta 16V","Classic Cars","La Rochelle Gifts",France,France,103.42,131.49,38,4996.62,3929.96
2005-05-31,10425,"1957 Chevy Pickup","Trucks and Buses","La Rochelle Gifts",France,France,55.70,95.99,33,3167.67,1838.10
2005-05-31,10425,"1998 Chrysler Plymouth Prowler","Classic Cars","La Rochelle Gifts",France,France,101.51,147.36,28,4126.08,2842.28
2005-05-31,10425,"1964 Mercedes Tour Bus","Trucks and Buses","La Rochelle Gifts",France,France,74.86,117.82,38,4477.16,2844.68
2005-05-31,10425,"1926 Ford Fire Engine","Trucks and Buses","La Rochelle Gifts",France,France,24.92,48.62,19,923.78,473.48
2005-05-31,10425,"1992 Ferrari 360 Spider red","Classic Cars","La Rochelle Gifts",France,France,77.90,140.55,28,3935.40,2181.20
2005-05-31,10425,"1940s Ford truck","Trucks and Buses","La Rochelle Gifts",France,France,84.76,107.76,38,4094.88,3220.88
2005-05-31,10425,"1970 Dodge Coronet","Classic Cars","La Rochelle Gifts",France,France,32.37,53.75,55,2956.25,1780.35
2005-05-31,10425,"1962 Volkswagen Microbus","Trucks and Buses","La Rochelle Gifts",France,France,61.34,127.79,49,6261.71,3005.66
2005-05-31,10425,"1958 Chevy Corvette Limited Edition","Classic Cars","La Rochelle Gifts",France,France,15.91,31.82,31,986.42,493.21
2005-05-31,10425,"1980 s GM Manhattan Express","Trucks and Buses","La Rochelle Gifts",France,France,53.93,83.79,41,3435.39,2211.13
2005-05-31,10425,"1954 Greyhound Scenicruiser","Trucks and Buses","La Rochelle Gifts",France,France,25.98,50.32,11,553.52,285.78
2005-05-31,10425,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses","La Rochelle Gifts",France,France,68.29,94.92,18,1708.56,1229.22
2003-01-29,10103,"1952 Alpine Renault 1300","Classic Cars","Baane Mini Imports",Norway,UK,98.58,214.30,26,5571.80,2563.08
2003-01-29,10103,"1962 LanciaA Delta 16V","Classic Cars","Baane Mini Imports",Norway,UK,103.42,119.67,42,5026.14,4343.64
2003-01-29,10103,"1958 Setra Bus","Trucks and Buses","Baane Mini Imports",Norway,UK,77.90,121.64,27,3284.28,2103.30
2003-01-29,10103,"1940 Ford Pickup Truck","Trucks and Buses","Baane Mini Imports",Norway,UK,58.33,94.50,35,3307.50,2041.55
2003-01-29,10103,"1926 Ford Fire Engine","Trucks and Buses","Baane Mini Imports",Norway,UK,24.92,58.34,22,1283.48,548.24
2003-01-29,10103,"1913 Ford Model T Speedster","Vintage Cars","Baane Mini Imports",Norway,UK,60.78,92.19,27,2489.13,1641.06
2003-01-29,10103,"1934 Ford V8 Coupe","Vintage Cars","Baane Mini Imports",Norway,UK,34.35,61.84,35,2164.40,1202.25
2003-01-29,10103,"18th Century Vintage Horse Carriage","Vintage Cars","Baane Mini Imports",Norway,UK,60.74,86.92,25,2173.00,1518.50
2003-01-29,10103,"1917 Maxwell Touring Car","Vintage Cars","Baane Mini Imports",Norway,UK,57.54,86.31,46,3970.26,2646.84
2003-01-29,10103,"1940s Ford truck","Trucks and Buses","Baane Mini Imports",Norway,UK,84.76,98.07,36,3530.52,3051.36
2003-01-29,10103,"1939 Cadillac Limousine","Vintage Cars","Baane Mini Imports",Norway,UK,23.14,40.75,41,1670.75,948.74
2003-01-29,10103,"1962 Volkswagen Microbus","Trucks and Buses","Baane Mini Imports",Norway,UK,61.34,107.34,36,3864.24,2208.24
2003-01-29,10103,"1936 Chrysler Airflow","Vintage Cars","Baane Mini Imports",Norway,UK,57.46,88.62,25,2215.50,1436.50
2003-01-29,10103,"1980 s GM Manhattan Express","Trucks and Buses","Baane Mini Imports",Norway,UK,53.93,92.46,31,2866.26,1671.83
2003-01-29,10103,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses","Baane Mini Imports",Norway,UK,33.61,63.35,45,2850.75,1512.45
2003-01-29,10103,"1982 Camaro Z28","Classic Cars","Baane Mini Imports",Norway,UK,46.53,94.07,42,3950.94,1954.26
2003-10-10,10158,"1960 BSA Gold Star DBD34",Motorcycles,"Baane Mini Imports",Norway,UK,37.32,67.79,22,1491.38,821.04
2004-10-15,10309,"1969 Harley Davidson Ultimate Chopper",Motorcycles,"Baane Mini Imports",Norway,UK,48.81,94.74,41,3884.34,2001.21
2004-10-15,10309,"2002 Suzuki XREO",Motorcycles,"Baane Mini Imports",Norway,UK,66.27,144.60,26,3759.60,1723.02
2004-10-15,10309,"1997 BMW R 1100 S",Motorcycles,"Baane Mini Imports",Norway,UK,60.86,96.92,21,2035.32,1278.06
2004-10-15,10309,"1982 Ducati 900 Monster",Motorcycles,"Baane Mini Imports",Norway,UK,47.10,59.56,24,1429.44,1130.40
2004-10-15,10309,"1974 Ducati 350 Mk3 Desmo",Motorcycles,"Baane Mini Imports",Norway,UK,56.13,93.89,50,4694.50,2806.50
2004-10-15,10309,"2002 Yamaha YZR M1",Motorcycles,"Baane Mini Imports",Norway,UK,34.17,74.04,28,2073.12,956.76
2004-11-05,10325,"1972 Alfa Romeo GTA","Classic Cars","Baane Mini Imports",Norway,UK,85.68,111.52,47,5241.44,4026.96
2004-11-05,10325,"2001 Ferrari Enzo","Classic Cars","Baane Mini Imports",Norway,UK,95.59,193.25,42,8116.50,4014.78
2004-11-05,10325,"1969 Ford Falcon","Classic Cars","Baane Mini Imports",Norway,UK,83.05,166.10,24,3986.40,1993.20
2004-11-05,10325,"1903 Ford Model A","Vintage Cars","Baane Mini Imports",Norway,UK,68.30,114.74,24,2753.76,1639.20
2004-11-05,10325,"1992 Porsche Cayenne Turbo Silver","Classic Cars","Baane Mini Imports",Norway,UK,69.78,114.73,44,5048.12,3070.32
2004-11-05,10325,"1954 Greyhound Scenicruiser","Trucks and Buses","Baane Mini Imports",Norway,UK,25.98,44.37,38,1686.06,987.24
2004-11-05,10325,"1950's Chicago Surface Lines Streetcar",Trains,"Baane Mini Imports",Norway,UK,26.72,55.30,28,1548.40,748.16
2004-11-05,10325,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses","Baane Mini Imports",Norway,UK,68.29,99.55,38,3782.90,2595.02
2004-11-05,10325,"1962 City of Detroit Streetcar",Trains,"Baane Mini Imports",Norway,UK,37.49,56.24,44,2474.56,1649.56
2003-03-26,10113,"1958 Setra Bus","Trucks and Buses","Mini Gifts Distributors Ltd.",USA,USA,77.90,121.64,21,2554.44,1635.90
2003-03-26,10113,"1940 Ford Pickup Truck","Trucks and Buses","Mini Gifts Distributors Ltd.",USA,USA,58.33,101.50,49,4973.50,2858.17
2003-03-26,10113,"1939 Cadillac Limousine","Vintage Cars","Mini Gifts Distributors Ltd.",USA,USA,23.14,43.27,50,2163.50,1157.00
2003-03-26,10113,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses","Mini Gifts Distributors Ltd.",USA,USA,33.61,58.82,23,1352.86,773.03
2003-07-02,10135,"1968 Ford Mustang","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,95.34,173.17,42,7273.14,4004.28
2003-07-02,10135,"1968 Dodge Charger","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,75.16,110.39,48,5298.72,3607.68
2003-07-02,10135,"1970 Plymouth Hemi Cuda","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,31.92,72.62,24,1742.88,766.08
2003-07-02,10135,"1969 Dodge Charger","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,58.73,103.64,29,3005.56,1703.17
2003-07-02,10135,"1948 Porsche 356-A Roadster","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,53.90,66.99,48,3215.52,2587.20
2003-07-02,10135,"1969 Dodge Super Bee","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,49.05,65.94,45,2967.30,2207.25
2003-07-02,10135,"1976 Ford Gran Torino","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,73.49,139.64,42,5864.88,3086.58
2003-07-02,10135,"1957 Vespa GS150",Motorcycles,"Mini Gifts Distributors Ltd.",USA,USA,32.95,49.74,45,2238.30,1482.75
2003-07-02,10135,"1957 Corvette Convertible","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,69.93,133.92,31,4151.52,2167.83
2003-07-02,10135,"1982 Ducati 900 Monster",Motorcycles,"Mini Gifts Distributors Ltd.",USA,USA,47.10,67.18,29,1948.22,1365.90
2003-07-02,10135,"1982 Lamborghini Diablo","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,16.24,34.36,20,687.20,324.80
2003-07-02,10135,"1971 Alpine Renault 1600s","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,38.58,52.05,27,1405.35,1041.66
2003-07-02,10135,"1956 Porsche 356A Coupe","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,98.30,139.03,47,6534.41,4620.10
2003-07-02,10135,"1961 Chevrolet Impala","Classic Cars","Mini Gifts Distributors Ltd.",USA,USA,32.33,76.80,23,1766.40,743.59
2003-07-02,10135,"1982 Ducati 996 R",Motorcycles,"Mini Gifts Distributors Ltd.",USA,USA,24.14,38.62,33,1274.46,796.62
2003-07-02,10135,"1974 Ducati 350 Mk3 Desmo",Motorcycles,"Mini Gifts Distributors Ltd.",USA,USA,56.13,91.85,30,2755.50,1683.90
2003-07-02,10135,"2002 Yamaha YZR M1",Motorcycles,"Mini Gifts Distributors Ltd.",USA,USA,34.17,78.92,44,3472.48,1503.48
